group,mean,max,count
GLCM纹理,0.2323026615772313,0.30531568496500555,7
LBP纹理,0.19223098438391706,0.5089757744961204,59
灰度统计,0.1717649866244914,0.23020442128065752,2
形态比例,0.12422544380645795,0.18272838817850562,6
颜色,0.11511289828050954,0.3144958997211632,34
形貌,0.06736348147624749,0.14800335061326556,12
分形复杂度,0.059122327788979634,0.07766306688507298,2
对称性,0.04850331298790364,0.08843721088916452,4
