class_id,iou,dice,area_coarse,area_refined,edge_coarse,edge_refined,fractal_coarse,fractal_refined,t_coarse,t_refined
1,0.9874201778577433,0.9936702755248107,0.5696726820580031,0.5625063010384111,0.014157830312504609,0.01426352421065209,1.7475329132893946,1.7438725856143806,0.10755491256713867,0.11197113990783691
2,0.9604829404977748,0.9798432015469455,0.3545465170640486,0.34053588125292195,0.050972474039887916,0.05225449397228538,1.6756231071554428,1.665413146255305,0.005984783172607422,0.07924175262451172
3,0.9445679561286497,0.9714939024389503,0.16522186306200412,0.15606327750024487,0.03646064917741218,0.035305193786285896,1.4766299372151164,1.4558626269863304,0.004999876022338867,0.03907155990600586
4,0.9497529992942837,0.9742290429998318,0.3453851153721157,0.3280305492362691,0.06553752058339214,0.06618120572645762,1.6889405360927816,1.674956272486024,0.005998134613037109,0.06844472885131836
5,0.9533093894304772,0.9760966640396701,0.04806886006017856,0.045824495634587875,0.0620831195484864,0.06350914962325081,1.4676121396836384,1.4595224030944216,0.005995988845825195,0.03928112983703613
6,0.9751757273778806,0.9874318663002616,0.29991060587866414,0.2924655432360672,0.03639113800160156,0.03699817518248175,1.7512678006817408,1.7424331997135374,0.005995035171508789,0.0757901668548584
7,0.9307912717654838,0.9641552511414975,0.0945090197058701,0.087968170645336,0.06116376460216002,0.06168600520956666,1.5230898553853816,1.5003400644534641,0.00798940658569336,0.09078097343444824
8,0.9730079497134405,0.9863193403298043,0.37090285714285715,0.3608914285714286,0.032784864731620136,0.032174298562290204,1.7151912680933874,1.7088935440465258,0.005216360092163086,0.04298830032348633
9,0.9449642267473858,0.9717034521787883,0.0852510044944177,0.08312290564899075,0.02039865871833085,0.020061138708444785,1.5053020563045891,1.4986346940530124,0.009001016616821289,0.11001706123352051
10,0.972623372020909,0.9861217156972384,0.3055660837078347,0.29720071471113757,0.035527598121732964,0.036891965749681184,1.5858599601468535,1.5745511962699004,0.007213115692138672,0.041193246841430664
11,0.9781962338949455,0.9889779559117883,0.19846856340007024,0.19414120126448894,0.036882344612770776,0.036618902880301056,1.6415747922108725,1.634694959933861,0.008500337600708008,0.07055830955505371
12,0.9872863693205502,0.9936025170423708,0.2075259515570934,0.20488754325259514,0.040016673614005835,0.04116529449018366,1.540204130933096,1.5359027438356294,0.005001544952392578,0.025352001190185547
13,0.9867992177314211,0.9933557542449077,0.23369006360208705,0.23060517195414557,0.0346045197740113,0.033470960638590695,1.617563249520981,1.6138136106383791,0.006447553634643555,0.07424426078796387
14,0.9697096128170895,0.9846219021393355,0.16933728981206725,0.164207997739155,0.03462950600801068,0.03588331468892522,1.6610297099303268,1.6509437283940915,0.00683903694152832,0.06736445426940918
15,0.9639227130924827,0.9816299864210248,0.22508125983895264,0.21696093865023727,0.04765019623628862,0.04917262619408049,1.6334119966758363,1.6207268264102408,0.007000923156738281,0.08996868133544922
16,0.867035864978903,0.9287832989632214,0.21414050146826294,0.18566749491755138,0.030748945147679323,0.024210718413528804,1.6277775917407342,1.6497813814207625,0.0069882869720458984,0.08565807342529297
17,0.9787689910401247,0.9892705974997417,0.5518279165379086,0.5401120530975829,0.027756135566809507,0.029203980099502487,1.6950662905663965,1.6894975872195408,0.00753331184387207,0.07904410362243652
18,0.8710448331899436,0.9310785265416169,0.08206054099773906,0.07712389596447568,0.06184340931615461,0.06358747231888642,1.4701749694877722,1.4561067429457561,0.006531715393066406,0.10727167129516602
19,0.9500897080411026,0.9744061559049034,0.15071288102261554,0.14319075712881021,0.055455879954330455,0.05836909871244635,1.4371285050415699,1.4238407258972257,0.004982948303222656,0.03864431381225586
20,0.9473124810203462,0.9729434697854992,0.11146653126851147,0.1055936362867056,0.055876100819921046,0.05722070844686648,1.538012160969412,1.5227927503173229,0.007001399993896484,0.05808424949645996
21,0.9697878722948361,0.9846622430108795,0.18959213519662008,0.1838641533961651,0.04521105635311763,0.04507291206363235,1.7061478364016616,1.6963852166401472,0.004923820495605469,0.02501845359802246
22,0.9004602011249361,0.947623318385622,0.12312635379061372,0.1183898916967509,0.05219023045798393,0.05153381716167592,1.597403516134607,1.5869268156080314,0.009931564331054688,0.08850932121276855
23,0.925735992402659,0.9614360390570114,0.06880573761684754,0.06736864725475449,0.03591645520203006,0.03508771929824561,1.4418272114644595,1.4337138296600773,0.005016326904296875,0.05647873878479004
24,0.947923025493445,0.9732653837831313,0.4500504674883128,0.43991048661283466,0.02363738306725293,0.024016181864839163,1.723263134321152,1.7182389432315293,0.009999752044677734,0.14086461067199707
25,0.9663528209619736,0.982888534204336,0.18206341191165917,0.17593749169479364,0.04101890372965477,0.04154078549848943,1.6203431811009934,1.6096263574678464,0.006238460540771484,0.07120943069458008
26,0.9149051490514906,0.9555618454571057,0.23954529316291337,0.23084043416514505,0.03771537463938809,0.03548475693490799,1.643455287692923,1.6331862735633484,0.009910106658935547,0.10259032249450684
27,0.9724343453157013,0.9860245514635518,0.17653054514368383,0.17166436509502203,0.04321102626187372,0.04405286343612335,1.5376088504500596,1.5293150217635008,0.004925966262817383,0.030576467514038086
28,0.9580876934414149,0.9785952862585982,0.23559027777777777,0.22571614583333333,0.050478997789240976,0.05211037400249976,1.7226684955335423,1.7113306921778408,0.005988121032714844,0.04933333396911621
29,0.9628917157927397,0.9810950935760944,0.21355685131195334,0.20563212297906175,0.04287930499534595,0.04195398595089257,1.6387272552438827,1.62666533712259,0.0072324275970458984,0.07636380195617676
30,0.9369164657144624,0.9674309473835345,0.3896075974249349,0.3801046734483267,0.02809617658651951,0.026843142958725235,1.7228112137570433,1.7149046860459676,0.011998414993286133,0.11869096755981445
31,0.9787313899662204,0.989251390996428,0.35275166600467805,0.3452491283816585,0.03346678343550607,0.0338105586092292,1.6942251160984787,1.6873729257908379,0.006001710891723633,0.0462651252746582
32,0.890315634159472,0.9419756341964987,0.33386941580756013,0.3177113402061856,0.051134258306229155,0.049300192528176176,1.6856802266381299,1.716075101006273,0.009935140609741211,0.10457777976989746
33,0.9553386169597605,0.9771592589370971,0.2502511108462861,0.2390745501285347,0.05353923602843634,0.055294452752260914,1.6070525536323121,1.5995178457438826,0.009033441543579102,0.1201777458190918
34,0.9288164665523156,0.9630947087592344,0.11726843005129237,0.10892084883837876,0.06818181818181818,0.06740535549399815,1.4750183574084799,1.455155021764952,0.003998517990112305,0.02136969566345215
