class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
106,106.Horned_Puffin,Horned Puffin,Fratercula corniculata,BirdLife,True,536.1,51.0,16.8,7.3,31.6,32.1,185.5,52.3,63.3,Marine,Carnivore,Aquatic predator,Aquatic,3.0,1467964.71,Alcidae,Charadriiformes
107,107.Common_Raven,Common Raven,Corvus corax,BirdLife,True,928.0,77.0,49.2,21.9,27.9,67.1,419.7,39.8,228.7,Forest,Omnivore,Omnivore,Terrestrial,2.0,52288449.5,Corvidae,Passeriformes
108,108.White_necked_Raven,White necked Raven,Corvus albicollis,BirdLife,True,894.0,65.9,42.4,19.6,34.0,75.2,417.1,39.6,165.6,Rock,Omnivore,Omnivore,Terrestrial,2.0,1615598.28,Corvidae,Passeriformes
109,109.American_Redstart,American Redstart,Setophaga ruticilla,BirdLife,True,8.2,12.3,6.8,4.0,3.0,17.0,62.0,24.6,52.6,Forest,Carnivore,Invertivore,Insessorial,3.0,6675504.95,Parulidae,Passeriformes
110,110.Geococcyx,Geococcyx,Geococcyx californianus,BirdLife,True,376.0,57.8,35.4,10.1,12.5,59.5,181.0,6.5,287.4,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,3008009.53,Cuculidae,Cuculiformes
111,111.Loggerhead_Shrike,Loggerhead Shrike,Lanius ludovicianus,BirdLife,True,51.6,21.1,12.3,6.5,8.8,27.7,96.4,22.6,96.7,Shrubland,Carnivore,Invertivore,Insessorial,3.0,8852504.29,Laniidae,Passeriformes
112,112.Great_Grey_Shrike,Great Grey Shrike,Lanius borealis,BirdLife,True,63.4,23.2,13.9,6.9,9.3,29.4,109.2,26.3,106.2,Shrubland,Carnivore,Vertivore,Insessorial,3.0,11997297.51,Laniidae,Passeriformes
113,113.Baird_Sparrow,Baird Sparrow,Centronyx bairdii,eBird,True,18.1,11.8,7.7,4.8,5.1,22.6,65.6,19.0,42.6,Grassland,Herbivore,Granivore,Generalist,3.0,,Passerellidae,Passeriformes
114,114.Black_throated_Sparrow,Black throated Sparrow,Amphispiza bilineata,BirdLife,True,13.5,11.7,8.2,4.6,5.9,18.1,63.5,17.7,64.8,Shrubland,Omnivore,Omnivore,Generalist,2.0,2450691.64,Passerellidae,Passeriformes
115,115.Brewer_Sparrow,Brewer Sparrow,Spizella breweri,BirdLife,True,10.9,12.3,6.7,3.6,4.4,16.8,62.8,20.5,57.3,Shrubland,Omnivore,Omnivore,Generalist,3.0,3238311.53,Passerellidae,Passeriformes
116,116.Chipping_Sparrow,Chipping Sparrow,Spizella passerina,BirdLife,True,12.2,13.1,7.0,4.0,4.9,16.3,68.0,24.2,56.0,Forest,Omnivore,Omnivore,Generalist,3.0,13081064.54,Passerellidae,Passeriformes
117,117.Clay_colored_Sparrow,Clay colored Sparrow,Spizella pallida,BirdLife,True,11.2,10.1,6.0,3.4,4.9,17.4,60.8,18.6,56.8,Shrubland,Omnivore,Granivore,Generalist,3.0,3219955.48,Passerellidae,Passeriformes
118,118.House_Sparrow,House Sparrow,Passer domesticus,BirdLife,True,26.5,13.5,9.1,6.3,7.4,17.9,74.9,27.3,57.2,Human Modified,Herbivore,Granivore,Terrestrial,1.0,34407867.59,Passeridae,Passeriformes
119,119.Field_Sparrow,Field Sparrow,Spizella pusilla,BirdLife,True,12.5,10.4,6.6,4.3,5.2,17.9,64.4,16.7,62.0,Grassland,Omnivore,Granivore,Generalist,2.0,3997616.97,Passerellidae,Passeriformes
120,120.Fox_Sparrow,Fox Sparrow,Passerella megarhyncha,BirdLife,True,33.3,13.4,8.5,5.3,7.5,24.3,84.2,26.1,68.2,Forest,Omnivore,Omnivore,Generalist,3.0,259829.82,Passerellidae,Passeriformes
121,121.Grasshopper_Sparrow,Grasshopper Sparrow,Ammodramus savannarum,BirdLife,True,17.6,13.8,8.2,4.5,6.1,20.1,58.2,21.1,41.4,Grassland,Omnivore,Invertivore,Generalist,2.0,5240933.14,Passerellidae,Passeriformes
122,122.Harris_Sparrow,Harris Sparrow,Zonotrichia querula,BirdLife,True,35.5,16.0,9.2,5.1,7.5,24.3,86.9,23.7,80.9,Shrubland,Herbivore,Omnivore,Terrestrial,3.0,1699160.3,Passerellidae,Passeriformes
123,123.Henslow_Sparrow,Henslow Sparrow,Centronyx henslowii,eBird,True,12.8,13.6,8.4,4.4,6.8,16.7,54.7,15.6,49.9,Grassland,Omnivore,Omnivore,Generalist,2.0,,Passerellidae,Passeriformes
124,124.Le_Conte_Sparrow,Le Conte Sparrow,Ammospiza leconteii,BirdLife,True,13.0,11.2,7.1,4.2,5.0,17.3,53.0,18.8,52.0,Grassland,Omnivore,Granivore,Generalist,3.0,2867567.84,Passerellidae,Passeriformes
125,125.Lincoln_Sparrow,Lincoln Sparrow,Melospiza lincolnii,BirdLife,True,16.6,13.2,8.0,4.0,5.1,20.1,64.0,22.3,56.8,Wetland,Omnivore,Omnivore,Generalist,3.0,7567216.93,Passerellidae,Passeriformes
126,126.Nelson_Sharp_tailed_Sparrow,Nelson Sharp tailed Sparrow,Ammospiza nelsoni,BirdLife,True,15.1,14.4,8.7,3.8,5.2,21.7,56.4,21.9,47.7,Wetland,Omnivore,Invertivore,Generalist,3.0,2592907.6,Passerellidae,Passeriformes
127,127.Savannah_Sparrow,Savannah Sparrow,Passerculus rostratus,BirdLife,True,20.0,12.8,8.3,4.1,5.4,20.7,72.8,24.1,51.2,Grassland,Omnivore,Omnivore,Generalist,3.0,83853.01,Passerellidae,Passeriformes
128,128.Seaside_Sparrow,Seaside Sparrow,Ammospiza maritima,BirdLife,True,22.2,16.3,11.1,4.2,6.3,22.9,60.6,14.8,54.8,Wetland,Carnivore,Invertivore,Terrestrial,2.0,184267.84,Passerellidae,Passeriformes
129,129.Song_Sparrow,Song Sparrow,Melospiza melodia,BirdLife,True,21.9,13.4,8.5,5.3,6.7,21.5,66.3,20.1,67.2,Shrubland,Omnivore,Omnivore,Generalist,2.0,10313728.38,Passerellidae,Passeriformes
130,130.Tree_Sparrow,Tree Sparrow,Spizelloides arborea,eBird,True,17.8,11.8,7.9,4.6,6.2,20.2,72.2,19.9,69.2,Shrubland,Omnivore,Omnivore,Terrestrial,3.0,,Passerellidae,Passeriformes
131,131.Vesper_Sparrow,Vesper Sparrow,Pooecetes gramineus,BirdLife,True,25.7,12.0,7.7,4.9,6.6,20.1,78.6,23.9,59.6,Grassland,Omnivore,Omnivore,Generalist,3.0,6371227.47,Passerellidae,Passeriformes
132,132.White_crowned_Sparrow,White crowned Sparrow,Zonotrichia leucophrys,BirdLife,True,28.0,15.4,8.4,4.5,6.0,22.8,78.7,23.4,70.6,Shrubland,Omnivore,Omnivore,Generalist,3.0,7364178.61,Passerellidae,Passeriformes
133,133.White_throated_Sparrow,White throated Sparrow,Zonotrichia albicollis,BirdLife,True,24.4,13.6,8.4,5.1,6.3,23.0,72.8,19.7,70.4,Woodland,Herbivore,Omnivore,Terrestrial,3.0,5662700.85,Passerellidae,Passeriformes
134,134.Cape_Glossy_Starling,Cape Glossy Starling,Lamprotornis nitens,BirdLife,True,85.6,22.4,12.6,5.2,6.4,31.9,118.3,20.6,79.8,Grassland,Omnivore,Omnivore,Insessorial,1.0,3006322.47,Sturnidae,Passeriformes
135,135.Bank_Swallow,Bank Swallow,Riparia riparia,BirdLife,True,12.7,9.4,5.0,3.7,2.5,10.5,101.8,53.0,47.2,Riverine,Carnivore,Invertivore,Aerial,3.0,36583654.61,Hirundinidae,Passeriformes
136,136.Barn_Swallow,Barn Swallow,Hirundo rustica,BirdLife,True,17.9,12.4,6.0,4.5,2.7,11.7,115.8,52.6,71.4,Human Modified,Carnivore,Invertivore,Aerial,3.0,51701054.06,Hirundinidae,Passeriformes
137,137.Cliff_Swallow,Cliff Swallow,Petrochelidon pyrrhonota,BirdLife,True,21.6,11.3,5.9,4.5,3.0,12.6,109.3,49.0,49.2,Grassland,Carnivore,Invertivore,Aerial,3.0,11994340.08,Hirundinidae,Passeriformes
138,138.Tree_Swallow,Tree Swallow,Tachycineta bicolor,BirdLife,True,21.2,10.8,5.9,3.8,2.8,12.2,115.9,53.0,54.0,Wetland,Carnivore,Invertivore,Aerial,3.0,11720977.55,Hirundinidae,Passeriformes
139,139.Scarlet_Tanager,Scarlet Tanager,Piranga olivacea,BirdLife,True,28.2,18.8,11.5,7.2,8.2,19.4,92.6,30.9,63.8,Forest,Carnivore,Invertivore,Insessorial,3.0,2605301.09,Cardinalidae,Passeriformes
140,140.Summer_Tanager,Summer Tanager,Piranga rubra,BirdLife,True,29.1,19.2,13.3,8.4,9.0,19.5,92.0,29.2,71.3,Forest,Carnivore,Invertivore,Insessorial,3.0,3269576.69,Cardinalidae,Passeriformes
141,141.Artic_Tern,Artic Tern,Sterna paradisaea,BirdLife,True,110.0,37.8,22.8,3.8,7.0,16.1,262.7,69.1,179.6,Coastal,Carnivore,Aquatic predator,Aerial,3.0,10398468.44,Laridae,Charadriiformes
142,142.Black_Tern,Black Tern,Chlidonias niger,BirdLife,True,65.3,31.1,18.4,3.5,5.4,15.8,201.7,62.1,77.8,Wetland,Carnivore,Aquatic predator,Aerial,3.0,12943719.56,Laridae,Charadriiformes
143,143.Caspian_Tern,Caspian Tern,Hydroprogne caspia,BirdLife,True,655.0,78.7,49.1,10.4,19.2,42.6,410.7,65.1,148.7,Wetland,Carnivore,Aquatic predator,Aerial,3.0,6293644.91,Laridae,Charadriiformes
144,144.Common_Tern,Common Tern,Sterna hirundo,BirdLife,True,129.2,44.5,24.2,3.8,7.0,19.5,253.3,67.3,129.8,Marine,Carnivore,Aquatic predator,Aerial,3.0,30248469.5,Laridae,Charadriiformes
145,145.Elegant_Tern,Elegant Tern,Thalasseus elegans,BirdLife,True,260.0,64.4,44.6,5.8,10.3,28.2,296.6,66.6,126.6,Coastal,Carnivore,Aquatic predator,Aerial,3.0,1309.31,Laridae,Charadriiformes
146,146.Forsters_Tern,Forsters Tern,Sterna forsteri,BirdLife,True,149.0,45.3,28.0,4.9,8.8,24.3,252.6,68.7,131.4,Wetland,Carnivore,Aquatic predator,Aerial,3.0,1801878.95,Laridae,Charadriiformes
147,147.Least_Tern,Least Tern,Sternula antillarum,BirdLife,True,45.9,29.5,19.8,3.1,5.6,14.6,165.1,69.1,77.8,Marine,Carnivore,Aquatic predator,Aerial,3.0,1340830.63,Laridae,Charadriiformes
148,148.Green_tailed_Towhee,Green tailed Towhee,Pipilo chlorurus,BirdLife,True,29.4,15.1,9.3,4.7,6.9,24.1,77.6,16.8,87.6,Shrubland,Omnivore,Omnivore,Generalist,3.0,1737517.52,Passerellidae,Passeriformes
149,149.Brown_Thrasher,Brown Thrasher,Toxostoma rufum,BirdLife,True,68.8,30.1,19.3,5.4,6.3,34.2,102.5,13.9,121.8,Shrubland,Omnivore,Omnivore,Generalist,2.0,5678627.88,Mimidae,Passeriformes
150,150.Sage_Thrasher,Sage Thrasher,Oreoscoptes montanus,BirdLife,True,44.2,20.8,12.1,4.4,5.3,29.4,97.7,26.0,96.0,Shrubland,Carnivore,Invertivore,Terrestrial,3.0,1992131.03,Mimidae,Passeriformes
151,151.Black_capped_Vireo,Black capped Vireo,Vireo atricapilla,BirdLife,True,9.0,13.1,6.8,3.7,3.3,19.8,54.8,14.9,42.9,Shrubland,Carnivore,Invertivore,Insessorial,3.0,315128.21,Vireonidae,Passeriformes
152,152.Blue_headed_Vireo,Blue headed Vireo,Vireo solitarius,BirdLife,True,15.3,13.7,7.5,4.0,4.4,18.6,75.3,29.3,51.4,Forest,Carnivore,Invertivore,Insessorial,3.0,3329804.9,Vireonidae,Passeriformes
153,153.Philadelphia_Vireo,Philadelphia Vireo,Vireo philadelphicus,BirdLife,True,11.5,13.2,6.9,3.4,3.5,17.0,66.2,25.6,47.1,Woodland,Carnivore,Invertivore,Insessorial,3.0,2750346.28,Vireonidae,Passeriformes
154,154.Red_eyed_Vireo,Red eyed Vireo,Vireo olivaceus,BirdLife,True,16.1,16.4,9.6,4.3,4.4,19.5,77.5,29.8,52.7,Forest,Omnivore,Invertivore,Insessorial,3.0,8742854.76,Vireonidae,Passeriformes
155,155.Warbling_Vireo,Warbling Vireo,Vireo gilvus,BirdLife,True,12.7,14.3,7.5,3.7,3.7,17.6,70.1,23.5,51.3,Forest,Carnivore,Invertivore,Insessorial,3.0,9680437.56,Vireonidae,Passeriformes
156,156.White_eyed_Vireo,White eyed Vireo,Vireo griseus,BirdLife,True,11.4,13.7,7.4,3.9,4.1,19.5,61.6,17.9,48.9,Shrubland,Carnivore,Invertivore,Insessorial,3.0,3034548.86,Vireonidae,Passeriformes
157,157.Yellow_throated_Vireo,Yellow throated Vireo,Vireo flavifrons,BirdLife,True,18.0,15.1,8.5,4.3,4.9,19.3,76.3,33.8,48.4,Forest,Carnivore,Invertivore,Insessorial,3.0,3167329.54,Vireonidae,Passeriformes
158,158.Bay_breasted_Warbler,Bay breasted Warbler,Setophaga castanea,BirdLife,True,11.8,13.5,7.9,3.8,3.8,19.1,69.9,30.6,51.6,Forest,Omnivore,Invertivore,Insessorial,3.0,2650066.12,Parulidae,Passeriformes
159,159.Black_and_white_Warbler,Black and white Warbler,Mniotilta varia,BirdLife,True,10.9,13.7,9.0,2.9,3.3,17.3,68.8,25.5,46.6,Forest,Carnivore,Invertivore,Insessorial,3.0,5385503.08,Parulidae,Passeriformes
160,160.Black_throated_Blue_Warbler,Black throated Blue Warbler,Setophaga caerulescens,BirdLife,True,10.1,13.0,7.4,3.4,3.3,18.6,62.2,24.1,48.9,Forest,Carnivore,Invertivore,Insessorial,3.0,1168234.94,Parulidae,Passeriformes
161,161.Blue_winged_Warbler,Blue winged Warbler,Vermivora cyanoptera,BirdLife,True,8.9,13.0,8.5,3.0,3.3,16.3,58.3,25.2,42.5,Shrubland,Carnivore,Invertivore,Insessorial,3.0,1491745.35,Parulidae,Passeriformes
162,162.Canada_Warbler,Canada Warbler,Cardellina canadensis,BirdLife,True,10.0,13.0,7.2,4.0,3.6,19.2,62.5,25.9,52.7,Forest,Carnivore,Invertivore,Insessorial,3.0,2768373.43,Parulidae,Passeriformes
163,163.Cape_May_Warbler,Cape May Warbler,Setophaga tigrina,BirdLife,True,10.0,12.6,7.6,3.2,3.3,17.5,65.7,26.7,45.2,Forest,Omnivore,Invertivore,Insessorial,3.0,2530023.76,Parulidae,Passeriformes
164,164.Cerulean_Warbler,Cerulean Warbler,Setophaga cerulea,BirdLife,True,9.0,14.3,8.2,3.2,3.3,15.5,65.6,33.2,42.3,Forest,Carnivore,Invertivore,Insessorial,3.0,1849163.51,Parulidae,Passeriformes
165,165.Chestnut_sided_Warbler,Chestnut sided Warbler,Setophaga pensylvanica,BirdLife,True,9.3,13.4,7.6,3.6,3.6,18.7,61.6,26.6,46.2,Forest,Carnivore,Invertivore,Insessorial,3.0,2422614.2,Parulidae,Passeriformes
166,166.Golden_winged_Warbler,Golden winged Warbler,Vermivora chrysoptera,BirdLife,True,8.7,14.6,9.0,3.2,3.5,17.9,60.6,25.9,44.9,Shrubland,Carnivore,Invertivore,Insessorial,3.0,946202.7,Parulidae,Passeriformes
167,167.Hooded_Warbler,Hooded Warbler,Setophaga citrina,BirdLife,True,10.5,13.7,7.9,3.8,3.6,19.2,64.7,21.5,55.1,Forest,Carnivore,Invertivore,Insessorial,3.0,2007300.04,Parulidae,Passeriformes
168,168.Kentucky_Warbler,Kentucky Warbler,Geothlypis formosa,BirdLife,True,14.0,13.8,8.7,3.5,3.7,22.8,66.9,24.9,48.1,Forest,Carnivore,Invertivore,Generalist,3.0,1970256.38,Parulidae,Passeriformes
169,169.Magnolia_Warbler,Magnolia Warbler,Setophaga magnolia,BirdLife,True,8.1,12.1,7.1,3.1,3.1,18.2,58.4,21.1,46.5,Forest,Carnivore,Invertivore,Insessorial,3.0,3661483.1,Parulidae,Passeriformes
170,170.Mourning_Warbler,Mourning Warbler,Geothlypis philadelphia,BirdLife,True,11.7,12.5,8.0,3.3,3.6,22.1,59.0,25.3,47.8,Forest,Carnivore,Invertivore,Insessorial,3.0,2709565.27,Parulidae,Passeriformes
171,171.Myrtle_Warbler,Myrtle Warbler,Setophaga coronata,BirdLife,True,11.9,12.6,7.2,3.4,3.4,18.1,71.6,24.5,56.3,Forest,Carnivore,Invertivore,Insessorial,3.0,7207362.84,Parulidae,Passeriformes
172,172.Nashville_Warbler,Nashville Warbler,Leiothlypis ruficapilla,BirdLife,True,8.1,11.6,7.0,2.8,3.5,16.1,56.8,23.6,42.4,Forest,Carnivore,Invertivore,Insessorial,3.0,2772463.48,Parulidae,Passeriformes
173,173.Orange_crowned_Warbler,Orange crowned Warbler,Leiothlypis celata,BirdLife,True,9.2,11.8,7.8,3.8,4.0,18.4,59.9,23.0,46.5,Shrubland,Carnivore,Invertivore,Insessorial,3.0,7482895.14,Parulidae,Passeriformes
174,174.Palm_Warbler,Palm Warbler,Setophaga palmarum,BirdLife,True,10.3,12.9,7.1,2.8,3.1,19.1,63.7,20.1,51.0,Forest,Carnivore,Invertivore,Insessorial,3.0,3394685.27,Parulidae,Passeriformes
175,175.Pine_Warbler,Pine Warbler,Setophaga pinus,BirdLife,True,11.8,13.4,8.0,3.1,3.8,18.6,71.8,28.6,54.0,Forest,Carnivore,Invertivore,Insessorial,3.0,2073441.98,Parulidae,Passeriformes
176,176.Prairie_Warbler,Prairie Warbler,Setophaga discolor,BirdLife,True,7.6,11.8,7.2,2.8,2.9,17.7,55.5,20.0,48.4,Shrubland,Carnivore,Invertivore,Insessorial,3.0,1565603.51,Parulidae,Passeriformes
177,177.Prothonotary_Warbler,Prothonotary Warbler,Protonotaria citrea,BirdLife,True,14.3,17.1,10.8,3.8,3.9,18.3,68.9,30.0,42.7,Forest,Carnivore,Invertivore,Insessorial,3.0,2173071.74,Parulidae,Passeriformes
178,178.Swainson_Warbler,Swainson Warbler,Limnothlypis swainsonii,BirdLife,True,18.9,17.8,11.4,3.4,4.3,17.7,71.6,25.0,49.6,Shrubland,Carnivore,Invertivore,Terrestrial,3.0,1142671.96,Parulidae,Passeriformes
179,179.Tennessee_Warbler,Tennessee Warbler,Leiothlypis peregrina,BirdLife,True,8.9,10.9,7.8,3.1,3.2,18.3,62.5,25.9,42.1,Forest,Carnivore,Invertivore,Insessorial,3.0,4777801.14,Parulidae,Passeriformes
180,180.Wilson_Warbler,Wilson Warbler,Cardellina pusilla,BirdLife,True,7.0,11.6,6.6,3.2,3.1,17.9,56.3,20.7,48.1,Forest,Carnivore,Invertivore,Insessorial,3.0,7961357.24,Parulidae,Passeriformes
181,181.Worm_eating_Warbler,Worm eating Warbler,Helmitheros vermivorum,BirdLife,True,14.2,15.3,10.2,3.7,4.5,17.7,68.3,26.2,48.4,Forest,Carnivore,Invertivore,Insessorial,3.0,1754178.4,Parulidae,Passeriformes
182,182.Yellow_Warbler,Yellow Warbler,Setophaga petechia,BirdLife,True,10.2,11.7,8.0,3.4,3.2,20.0,60.2,23.6,43.3,Shrubland,Carnivore,Invertivore,Insessorial,3.0,15552185.22,Parulidae,Passeriformes
183,183.Northern_Waterthrush,Northern Waterthrush,Parkesia noveboracensis,BirdLife,True,16.3,18.8,9.7,3.5,3.7,23.0,73.9,28.0,49.9,Shrubland,Carnivore,Invertivore,Terrestrial,3.0,7602956.73,Parulidae,Passeriformes
184,184.Louisiana_Waterthrush,Louisiana Waterthrush,Parkesia motacilla,BirdLife,True,19.9,17.1,11.0,4.2,4.5,22.3,79.8,29.7,49.0,Forest,Carnivore,Invertivore,Terrestrial,3.0,2411690.61,Parulidae,Passeriformes
185,185.Bohemian_Waxwing,Bohemian Waxwing,Bombycilla garrulus,BirdLife,True,54.4,15.5,7.6,5.1,6.0,20.7,116.2,37.8,65.8,Forest,Herbivore,Omnivore,Insessorial,3.0,12792145.0,Bombycillidae,Passeriformes
186,186.Cedar_Waxwing,Cedar Waxwing,Bombycilla cedrorum,BirdLife,True,31.6,15.1,6.6,4.5,4.9,16.7,95.4,35.1,59.8,Woodland,Herbivore,Frugivore,Insessorial,3.0,7437954.14,Bombycillidae,Passeriformes
187,187.American_Three_toed_Woodpecker,American Three toed Woodpecker,Picoides tridactylus,BirdLife,True,65.5,29.7,22.4,9.0,7.3,19.8,120.9,29.4,81.3,Forest,Carnivore,Invertivore,Insessorial,1.0,23486930.71,Picidae,Piciformes
188,188.Pileated_Woodpecker,Pileated Woodpecker,Hylatomus pileatus,BirdLife,True,286.6,52.1,37.4,14.6,11.9,29.3,228.4,25.3,167.3,Forest,Carnivore,Invertivore,Insessorial,1.0,5925872.32,Picidae,Piciformes
189,189.Red_bellied_Woodpecker,Red bellied Woodpecker,Melanerpes carolinus,BirdLife,True,69.5,32.6,21.6,7.1,7.6,21.1,127.2,28.2,76.8,Woodland,Omnivore,Omnivore,Insessorial,1.0,3074161.82,Picidae,Piciformes
190,190.Red_cockaded_Woodpecker,Red cockaded Woodpecker,Dryobates borealis,eBird,True,48.0,18.2,14.1,6.8,6.1,21.1,117.0,32.1,85.0,Forest,Carnivore,Invertivore,Insessorial,1.0,,Picidae,Piciformes
191,191.Red_headed_Woodpecker,Red headed Woodpecker,Melanerpes erythrocephalus,BirdLife,True,71.6,27.3,20.3,7.6,7.4,20.6,139.7,29.1,83.3,Forest,Carnivore,Invertivore,Insessorial,1.0,5461683.2,Picidae,Piciformes
192,192.Downy_Woodpecker,Downy Woodpecker,Dryobates pubescens,BirdLife,True,25.6,17.4,12.2,4.9,4.8,15.8,91.3,27.0,58.6,Woodland,Carnivore,Invertivore,Insessorial,1.0,12800223.82,Picidae,Piciformes
193,193.Bewick_Wren,Bewick Wren,Thryomanes bewickii,BirdLife,True,9.9,15.5,10.1,2.6,3.0,17.5,54.0,13.8,51.2,Shrubland,Carnivore,Invertivore,Generalist,2.0,3360146.45,Troglodytidae,Passeriformes
194,194.Cactus_Wren,Cactus Wren,Campylorhynchus brunneicapillus,BirdLife,True,38.9,26.1,16.4,4.0,5.7,26.2,83.2,13.7,86.4,Shrubland,Carnivore,Invertivore,Insessorial,1.0,1847263.76,Troglodytidae,Passeriformes
195,195.Carolina_Wren,Carolina Wren,Thryothorus albinucha,BirdLife,True,19.0,16.9,11.1,3.2,3.9,21.4,59.4,11.4,50.7,Woodland,Carnivore,Invertivore,Insessorial,1.0,177699.67,Troglodytidae,Passeriformes
196,196.House_Wren,House Wren,Troglodytes beani,BirdLife,True,10.9,15.9,9.8,3.0,3.1,20.1,51.4,12.9,41.1,Shrubland,Carnivore,Invertivore,Insessorial,1.0,488.33,Troglodytidae,Passeriformes
197,197.Marsh_Wren,Marsh Wren,Cistothorus palustris,BirdLife,True,10.8,16.0,9.9,2.7,3.4,19.2,48.4,20.0,39.5,Wetland,Carnivore,Invertivore,Insessorial,2.0,4855077.99,Troglodytidae,Passeriformes
198,198.Rock_Wren,Rock Wren,Salpinctes obsoletus,BirdLife,True,16.4,19.9,12.6,2.9,3.4,20.1,69.0,17.3,55.6,Rock,Carnivore,Invertivore,Terrestrial,1.0,5424173.4,Troglodytidae,Passeriformes
199,199.Winter_Wren,Winter Wren,Troglodytes hiemalis,BirdLife,True,8.9,12.5,8.5,2.3,2.3,18.1,45.8,17.0,27.6,Forest,Carnivore,Invertivore,Insessorial,3.0,3348061.18,Troglodytidae,Passeriformes
200,200.Common_Yellowthroat,Common Yellowthroat,Geothlypis trichas,BirdLife,True,9.5,12.7,7.9,3.0,3.3,20.2,54.7,16.1,49.4,Wetland,Carnivore,Invertivore,Insessorial,3.0,12826786.25,Parulidae,Passeriformes
