class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
32,032.Mangrove_Cuckoo,Mangrove Cuckoo,Coccyzus minor,BirdLife,True,63.9,31.3,20.6,6.8,9.1,28.1,135.0,31.7,155.3,Woodland,Carnivore,Invertivore,Insessorial,2.0,1105292.18,Cuculidae,Cuculiformes
33,033.Yellow_billed_Cuckoo,Yellow billed Cuckoo,Coccyzus americanus,BirdLife,True,64.0,29.2,20.0,7.0,8.2,24.5,143.4,43.0,146.3,Forest,Carnivore,Invertivore,Insessorial,3.0,5270361.03,Cuculidae,Cuculiformes
34,034.Gray_crowned_Rosy_Finch,Gray crowned Rosy Finch,Leucosticte tephrocotis,BirdLife,True,37.8,12.9,9.9,6.4,8.1,19.6,105.5,36.9,69.8,Grassland,Herbivore,Omnivore,Terrestrial,3.0,2279904.65,Fringillidae,Passeriformes
35,035.Purple_Finch,Purple Finch,Haemorhous purpureus,BirdLife,True,23.3,12.2,9.1,7.5,9.0,16.6,81.1,28.1,59.5,Forest,Herbivore,Omnivore,Insessorial,2.0,4534365.72,Fringillidae,Passeriformes
36,036.Northern_Flicker,Northern Flicker,Colaptes cafer,BirdLife,True,131.5,42.3,30.6,8.6,7.9,29.7,166.6,24.5,116.3,Shrubland,Carnivore,Invertivore,Generalist,2.0,6674670.23,Picidae,Piciformes
37,037.Acadian_Flycatcher,Acadian Flycatcher,Empidonax virescens,BirdLife,True,12.6,13.3,9.1,6.1,4.0,17.1,71.0,27.5,58.8,Forest,Carnivore,Invertivore,Insessorial,3.0,3006134.68,Tyrannidae,Passeriformes
38,038.Great_Crested_Flycatcher,Great Crested Flycatcher,Myiarchus crinitus,BirdLife,True,32.1,22.7,15.5,8.5,6.9,21.8,98.8,21.4,88.1,Woodland,Omnivore,Invertivore,Insessorial,3.0,5137539.15,Tyrannidae,Passeriformes
39,039.Least_Flycatcher,Least Flycatcher,Empidonax minimus,BirdLife,True,10.0,12.4,7.6,5.4,3.5,15.9,61.1,22.8,50.8,Forest,Carnivore,Invertivore,Insessorial,3.0,5753545.24,Tyrannidae,Passeriformes
40,040.Olive_sided_Flycatcher,Olive sided Flycatcher,Contopus cooperi,BirdLife,True,32.1,19.9,12.2,8.5,6.5,14.7,104.7,37.9,68.8,Forest,Carnivore,Invertivore,Insessorial,3.0,9652028.65,Tyrannidae,Passeriformes
41,041.Scissor_tailed_Flycatcher,Scissor tailed Flycatcher,Tyrannus forficatus,BirdLife,True,39.3,22.4,13.9,7.6,6.0,18.6,121.2,37.5,214.0,Human Modified,Omnivore,Invertivore,Insessorial,3.0,1445850.08,Tyrannidae,Passeriformes
